Product,SKU,Brand,Product Line,Classification,Shelf Inventory,Wholesale Price,Amount Sold (Units),Product
Grape Ice (Infused Distillate Disposable Vape Pen .5g),7376grapeiceDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,750,Grape Ice (Infused Distillate Disposable Vape Pen .5g)
Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g),7378legendlarry510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,180,$400.00 ,500,Legendary Larry (CO2 Full Spectrum 510 Cartridge .84g)
Animal Mints (CO2 Full Spectrum Luster Pod .84g),7764animalmintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,480,Animal Mints (CO2 Full Spectrum Luster Pod .84g)
Legendary Larry (CO2 Full Spectrum Luster Pod .84g),7398legendlarryLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,300,$400.00 ,480,Legendary Larry (CO2 Full Spectrum Luster Pod .84g)
Cherry Ice (Infused Distillate Disposable Vape Pen .5g),7366cherryiceDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,450,Cherry Ice (Infused Distillate Disposable Vape Pen .5g)
Animal Mints (CO2 Full Spectrum 510 Cartridge .84g),7193animalmints510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,140,$400.00 ,420,Animal Mints (CO2 Full Spectrum 510 Cartridge .84g)
Animal Mints (CO2 Full Spectrum 510 Cartridge .84g),7764animalmints510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,400,Animal Mints (CO2 Full Spectrum 510 Cartridge .84g)
Blue Blast (CO2 Full Spectrum Disposable Vape Pen .5g),9899blueblastDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,0,$750.00 ,400,Blue Blast (CO2 Full Spectrum Disposable Vape Pen .5g)
Blue Blast (CO2 Full Spectrum 510 Cartridge .84g),9899blueblast510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,0,$400.00 ,400,Blue Blast (CO2 Full Spectrum 510 Cartridge .84g)
Gelato (CO2 Full Spectrum Luster Pod .84g),7712gelatoLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,140,$400.00 ,400,Gelato (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (CO2 Full Spectrum Luster Pod .84g),7121animalmintsLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,400,Animal Mints (CO2 Full Spectrum Luster Pod .84g)
Blue Blast (CO2 Full Spectrum Luster Pod .84g),9899blueblastLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,60,$400.00 ,360,Blue Blast (CO2 Full Spectrum Luster Pod .84g)
White Gusherz (Infused Distillate Disposable Vape Pen .5g),6981whitegusherzDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,350,White Gusherz (Infused Distillate Disposable Vape Pen .5g)
Pure Night + CBN (CO2 Full Spectrum 510 Cartridge .84g),7944purenight510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,140,$400.00 ,340,Pure Night + CBN (CO2 Full Spectrum 510 Cartridge .84g)
Skunky Jack (CO2 Full Spectrum Luster Pod .84g),7473skunkyjackLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,0,$400.00 ,340,Skunky Jack (CO2 Full Spectrum Luster Pod .84g)
First Class Funk (CO2 Full Spectrum 510 Cartridge .84g),7664firstclassfunk510,Pure Ohio Wellness,510 Cartridge (CO2 Full Spectrum),Medical,40,$400.00 ,320,First Class Funk (CO2 Full Spectrum 510 Cartridge .84g)
Strawberry Cough (Infused Distillate Disposable Vape Pen .5g),7762strawcoughDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,0,$750.00 ,300,Strawberry Cough (Infused Distillate Disposable Vape Pen .5g)
Pure Night + CBN (CO2 Full Spectrum Luster Pod .84g),7944purenightLP,Pure Ohio Wellness,Luster Pod (CO2 Full Spectrum),Medical,100,$400.00 ,300,Pure Night + CBN (CO2 Full Spectrum Luster Pod .84g)
Animal Mints (CO2 Full Spectrum Disposable Vape Pen .5g),7121animalmintsDVP,Pure Ohio Wellness,Disposable Vape Pen (CO2 Full Spectrum),Medical,250,$750.00 ,300,Animal Mints (CO2 Full Spectrum Disposable Vape Pen .5g)
Cherry Ice (Infused Distillate 510 Cartridge .84g),7366cherryice510,Pure Ohio Wellness,510 Cartridge (Distillate),Medical,0,$400.00 ,300,Cherry Ice (Infused Distillate 510 Cartridge .84g)
Miracle Mints (Live Rosin Badder .3g),7438miraclemintsBAD3,Pure Ohio Wellness,Badder (Live Rosin),Medical,100,$180.00 ,300,Miracle Mints (Live Rosin Badder .3g)
Pineapple Coconut (Infused Distillate Disposable Vape Pen .5g),7374pinecocoDVP,Pure Ohio Wellness,Disposable Vape Pen (Distillate),Medical,50,$750.00 ,300,Pineapple Coconut (Infused Distillate Disposable Vape Pen .5g)
White Gusherz (Infused Distillate Luster Pod .84g),7427whitegushLP,Pure Ohio Wellness,Luster Pod (Distillate),Medical,180,$400.00 ,300,White Gusherz (Infused Distillate Luster Pod .84g)
